Borough,CD_Number,cd,puma
BX,8,BX08,3701
BX,12,BX12,3702
BX,10,BX10,3703
BX,11,BX11,3704
BX,3&6,BX3BX6,3705
BX,7,BX07,3706
BX,5,BX05,3707
BX,4,BX04,3708
BX,9,BX09,3709
BX,1&2,BX1BX2,3710
BK,1,BK01,4001
BK,4,BK04,4002
BK,3,BK03,4003
BK,2,BK02,4004
BK,6,BK06,4005
BK,8,BK08,4006
BK,16,BK16,4007
BK,5,BK05,4008
BK,18,BK18,4009
BK,17,BK17,4010
BK,9,BK09,4011
BK,7,BK07,4012
BK,10,BK10,4013
BK,12,BK12,4014
BK,14,BK14,4015
BK,15,BK15,4016
BK,11,BK11,4017
BK,13,BK13,4018
MN,12,MN12,3801
MN,9,MN09,3802
MN,10,MN10,3803
MN,11,MN11,3804
MN,8,MN08,3805
MN,7,MN07,3806
MN, 4&5,MN4MN5,3807
MN,6,MN06,3808
MN,3,MN03,3809
MN, 1&2,MN1MN2,3810
QN,1,QN01,4101
QN,3,QN03,4102
QN,7,QN07,4103
QN,11,QN11,4104
QN,13,QN13,4105
QN,8,QN08,4106
QN,4,QN04,4107
QN,6,QN06,4108
QN,2,QN02,4109
QN,5,QN05,4110
QN,9,QN09,4111
QN,12,QN12,4112
QN,10,QN10,4113
QN,14,QN14,4114
SI,3,SI03,3901
SI,2,SI02,3902
SI,1,SI01,3903