,puma,cd,CD_Name
0,3701,BX08,Riverdale/Kingsbridge
1,3702,BX12,Williamsbridge/Baychester
2,3703,BX10,Throgs Neck/Co-op City
3,3704,BX11,Pelham Parkway
4,3705,BX03BX06,Morrisania/Belmont
5,3706,BX07,Kingsbridge Heights/Moshulu
6,3707,BX05,University Heights/Fordham
7,3708,BX04,Highbridge/South Concourse
8,3709,BX09,Soundview/Parkchester
9,3710,BX01BX02,Mott Haven/Hunts Point
10,3801,MN12,Washington Heights/Inwood
11,3802,MN09,Morningside Heights/Hamilton Heights
12,3803,MN10,Central Harlem
13,3804,MN11,East Harlem
14,3805,MN08,Upper East Side
15,3806,MN07,Upper West Side
16,3807,MN04MN05,Chelsea/Clinton/Midtown
17,3808,MN06,Stuyvesant Town/Turtle Bay
18,3809,MN03,Lower East Side/Chinatown
19,3810,MN01MN02,Greenwich Village/Financial District
20,3901,SI03,South Shore
21,3902,SI02,Mid-Island
22,3903,SI01,North Shore
23,4001,BK01,Williamsburg/Greenpoint
24,4002,BK04,Bushwick
25,4003,BK03,Bedford Stuyvesant
26,4004,BK02,Brooklyn Heights/Fort Greene
27,4005,BK06,Park Slope/Carroll Gardens
28,4006,BK08,North Crown Heights/Prospect Heights
29,4007,BK16,Brownsville/Ocean Hill
30,4008,BK05,East New York/Starrett City
31,4009,BK18,Flatlands/Canarsie
32,4010,BK17,East Flatbush
33,4011,BK09,South Crown Heights
34,4012,BK07,Sunset Park
35,4013,BK10,Bay Ridge
36,4014,BK12,Borough Park
37,4015,BK14,Flatbush
38,4016,BK15,Sheepshead Bay/Gravesend
39,4017,BK11,Bensonhurst
40,4018,BK13,Coney Island
41,4101,QN01,Astoria
42,4102,QN03,Jackson Heights
43,4103,QN07,Flushing/Whitestone
44,4104,QN11,Bayside/Little Neck
45,4105,QN13,Queens Village
46,4106,QN08,Hillcrest/Fresh Meadows
47,4107,QN04,Elmhurst/Corona
48,4108,QN06,Rego Park/Forest Hills
49,4109,QN02,Sunnyside/Woodside
50,4110,QN05,Middle Village/Ridgewood
51,4111,QN09,Ozone Park/Woodhaven
52,4112,QN12,Jamaica
53,4113,QN10,South Ozone Park/Howard Beach
54,4114,QN14,Rockaways