Community_District,Units
BX 1,"31,623"
BX 2,"17,859"
BX 3,"28,182"
BX 4,"51,652"
BX 5,"43,460"
BX 6,"29,291"
BX 7,"50,161"
BX 8,"44,164"
BX 9,"64,604"
BX 10,"52,511"
BX 11,"43,691"
BX 12,"57,351"
BK 1 ,"72,105"
BK 2 ,"50,753"
BK 3 ,"65,614"
BK 4 ,"39,992"
BK 5 ,"65,612"
BK 6 ,"50,268"
BK 7 ,"42,506"
BK 8 ,"43,351"
BK 9 ,"38,710"
BK 10 ,"57,750"
BK 11 ,"72,420"
BK 12 ,"61,101"
BK 13 ,"46,298"
BK 14 ,"60,417"
BK 15 ,"70,595"
BK 16 ,"32,969"
BK 17 ,"59,098"
BK 18 ,"70,634"
MN 1 ,"34,139"
MN 2 ,"56,211"
MN 3 ,"75,975"
MN 4 ,"69,598"
MN 5 ,"36,550"
MN 6 ,"92,067"
MN 7 ,"120,694"
MN 8 ,"136,751"
MN 9 ,"42,973"
MN 10 ,"55,513"
MN 11 ,"50,226"
MN 12 ,"72,910"
QN 1,"83,019"
QN 2,"47,525"
QN 3,"56,181"
QN 4,"54,613"
QN 5,"65,818"
QN 6,"55,250"
QN 7,"95,475"
QN 8,"56,863"
QN 9,"47,999"
QN 10,"41,391"
QN 11,"45,688"
QN 12,"76,426"
QN 13,"63,216"
QN 14,"45,250"
SI 1,"65,422"
SI 2,"50,319"
SI 3,"60,584"