Community_District,Population
BX 1,91497
BX 2,52246
BX 3,79762
BX 4,146441
BX 5,128200
BX 6,83268
BX 7,139286
BX 8,101731
BX 9,172298
BX 10,120392
BX 11,113232
BX 12,152344
BK 1 ,173083
BK 2 ,99617
BK 3 ,152985
BK 4 ,112634
BK 5 ,182896
BK 6 ,104709
BK 7 ,126230
BK 8 ,96317
BK 9 ,98429
BK 10 ,124491
BK 11 ,181981
BK 12 ,191382
BK 13 ,104278
BK 14 ,160664
BK 15 ,159650
BK 16 ,86468
BK 17 ,155252
BK 18 ,193543
MN 1 ,60978
MN 2 ,90016
MN 3 ,163277
MN 4 ,103245
MN 5 ,51673
MN 6 ,142745
MN 7 ,209084
MN 8 ,219920
MN 9 ,110193
MN 10 ,115723
MN 11 ,120511
MN 12 ,190020
QN 1,191105
QN 2,113200
QN 3,171576
QN 4,172598
QN 5,169190
QN 6,113257
QN 7,247354
QN 8,151107
QN 9,143317
QN 10,122396
QN 11,116431
QN 12,225919
QN 13,188593
QN 14,114978
SI 1,175756
SI 2,132003
SI 3,160209